"site","cast","stn","depthid","depthsampled","lat","long","chl","temp","sal","oxy","theta","sigmatheta","n2","inctemp","nutcast","nutdepth","PO4","NO3_NO2","NO2","NH4","TN","sil","NPOC"
"stn2.d0","cast008","stn2","d0",5,-38,-45,0.0912,20.0814,36.0028,4.68409,20.080470643489,25.5068245514738,-6.51172611177655e-06,25,"cast008",5.316,"0.1843","0.352","0.0349","0.0334","3.96231246454734","1.0548","70.1229067116844"
"stn2.d1","cast005","stn2","d1",80,-38,-45,0.2419,19.4328,35.9807,4.64719,19.4180686394914,25.6641350678153,0.000106786652853022,25,"cast005",81.13,"0.2196","0.1387","0.0601","0.0393","3.5683211076102","0.9979","64.4757982535889"
"stn2.d2","cast003","stn2","d2",220,-38,-45,0.0068,15.1854,35.5945,4.35765,15.1513045024297,26.397768918232,1.65441716503677e-05,15,"cast003",219.829,"0.641","7.2403","0.0418","0.0288","8.86838318309575","2.2037","58.5463343725886"
"stn2.d3","cast004","stn2","d3",750,-38,-45,0.044,5.1693,34.266,5.03798,5.10686826751143,27.0811132474962,1.94505305155025e-06,3,"cast004",755.341,"1.8755","27.554","0.0295","0.0329","27.2354070138148","14.5476","43.4832863767557"
"stn2.d4","cast002","stn2","d4",2502,-38,-45,0.0521,2.8689,34.8532,4.48024,2.66817730765255,27.7979767444644,3.13162656598174e-07,3,"cast002",2501.794,"1.7849","25.5304","0.0271","0.0169","27.4361669409166","50.0437","44.6004317456398"
"stn2.d5","cast002","stn2","d5",5109,-38,-45,0.0519,0.2876,34.6707,4.54376,-0.129683554212689,27.8471875303483,-3.34637885161125e-08,3,"cast002",5108.562,"2.4173","33.3321","0.0498","0.021","37.3235933506765","126.0667","47.0434199699028"
"stn4.d0","cast011","stn4","d0",9,-31.25,-41,0.0527,23.2108,36.2306,4.48248,23.2089433794129,24.8081422462451,0.000102256764656117,18,"cast011",9.259,"0.1165","0.0103","0.0343","0.0407","5.32234927815838","0.833","75.5479467948432"
"stn4.d1","cast011","stn4","d1",121,-31.25,-41,0.2239,18.2232,35.9663,4.57594,18.2019682206487,25.9632188773614,6.04342094019585e-05,18,"cast011",122.135,"0.2638","0.5291","0.0858","0.0078","4.56233799511589","1.1627","64.0183884583662"
"stn4.d2","cast011","stn4","d2",253,-31.25,-41,0.023,15.7696,35.7071,4.42572,15.7293501444261,26.3545496220916,1.7875177137592e-05,18,"cast011",253.518,"0.5913","4.9149","0.0417","0.0165","7.86917174876681","2.2322","57.4672342856398"
"stn4.d3","cast011","stn4","d3",850,-31.25,-41,0.0377,5.3407,34.3154,4.71928,5.26812372547071,27.1013749516708,5.77824383871023e-06,3,"cast011",849.528,"1.978","27.3785","0.0325","0.1257","30.4049635397492","17.4119","45.9790641072938"
"stn4.d4","cast011","stn4","d4",2503,-31.25,-41,0.047,3.1565,34.9255,5.04174,2.95013962778828,27.8303404272735,5.58548451347006e-07,3,"cast011",2502.699,"1.521","21.3502","0.0382","0.054","23.6119423373341","29.6957","44.9443601540203"
"stn4.d5","cast011","stn4","d5",3781,-31.25,-41,0.0465,0.9014,34.7294,4.52474,0.615568567576823,27.852546096716,1.86758480566355e-07,3,"cast011",3780.204,"2.2073","30.7798","0.039","0.0224","34.619775374911","102.2126","46.8659532100998"
"stn7.d0","cast021","stn7","d0",6,-22.5,-32.7,0.0496,27.3524,37.2214,4.20062,27.3510016695669,24.2807014401542,-2.11612812989709e-07,28,"cast018",5.724,"0.0739","0.5634","0.0389","0.0102","0.845689924080354","1.9058","82.0761244574712"
"stn7.d1","cast021","stn7","d1",131,-22.5,-32.7,0.2457,22.1059,36.8226,4.43772,22.0794783789295,25.5824624512841,4.40627993117444e-05,28,"cast018",131.023,"0.1846","0.6643","0.1884","0.0307","3.88135340798204","2.2899","62.2538258216405"
"stn7.d2","cast024","stn7","d2",251,-22.5,-32.7,0.0253,16.0258,35.64,4.31736,15.9854500297101,26.2443225571565,2.25787096297081e-05,18,"cast018",250.055,"0.458","4.4056","0.062","0.0205","7.4816638644434","3.2929","52.9135266695623"
"stn7.d3","cast024","stn7","d3",753,-22.5,-32.7,0.0405,5.0941,34.3552,4.22577,5.03181914997066,27.160505496453,7.26527765661811e-06,3,"cast018",752.466,"1.6708","24.5974","0.0809","0.4299","33.7451076073247","19.7709","45.1851003890827"
"stn7.d4","cast024","stn7","d4",2505,-22.5,-32.7,0.0402,3.0416,34.9361,5.07814,2.83732667273105,27.8491037685706,3.64733832397939e-07,3,"cast018",2500.254,"1.3436","20.4444","0.0597","0.1332","20.4229514535206","28.5933","45.9177925923988"
