unique.id,time.sampled,elapsed.time.hrs
stn2-d0-fuc-1-t0,3/29/13 21:20,0
stn2-d0-fuc-1-t1,4/3/13 19:46,118.4333333
stn2-d0-fuc-1-t2,4/10/13 20:05,286.75
stn2-d0-fuc-1-t3,4/19/13 21:16,503.9333333
stn2-d0-fuc-2-t0,3/29/13 21:20,0
stn2-d0-fuc-2-t1,4/3/13 19:46,118.4333333
stn2-d0-fuc-2-t2,4/10/13 20:05,286.75
stn2-d0-fuc-2-t3,4/19/13 21:16,503.9333333
stn2-d0-fuc-3-t0,3/29/13 21:20,0
stn2-d0-fuc-3-t1,4/3/13 19:46,118.4333333
stn2-d0-fuc-3-t2,4/10/13 20:05,286.75
stn2-d0-fuc-3-t3,4/19/13 21:16,503.9333333
stn2-d0-fuc-x-t0,3/29/13 21:20,0
stn2-d0-fuc-x-t1,4/3/13 19:46,118.4333333
stn2-d0-fuc-x-t2,4/10/13 20:05,286.75
stn2-d0-fuc-x-t3,4/19/13 21:16,503.9333333
stn2-d0-ara-1-t0,3/29/13 21:20,0
stn2-d0-ara-1-t1,4/3/13 19:46,118.4333333
stn2-d0-ara-1-t2,4/10/13 20:05,286.75
stn2-d0-ara-1-t3,4/19/13 21:16,503.9333333
stn2-d0-ara-2-t0,3/29/13 21:20,0
stn2-d0-ara-2-t1,4/3/13 19:46,118.4333333
stn2-d0-ara-2-t2,4/10/13 20:05,286.75
stn2-d0-ara-2-t3,4/19/13 21:16,503.9333333
stn2-d0-ara-3-t0,3/29/13 21:20,0
stn2-d0-ara-3-t1,4/3/13 19:46,118.4333333
stn2-d0-ara-3-t2,4/10/13 20:05,286.75
stn2-d0-ara-3-t3,4/19/13 21:16,503.9333333
stn2-d0-ara-x-t0,3/29/13 21:20,0
stn2-d0-ara-x-t1,4/3/13 19:46,118.4333333
stn2-d0-ara-x-t2,4/10/13 20:05,286.75
stn2-d0-ara-x-t3,4/19/13 21:16,503.9333333
stn2-d0-chon-1-t0,3/29/13 21:20,0
stn2-d0-chon-1-t1,4/3/13 19:46,118.4333333
stn2-d0-chon-1-t2,4/10/13 20:05,286.75
stn2-d0-chon-1-t3,4/19/13 21:16,503.9333333
stn2-d0-chon-2-t0,3/29/13 21:20,0
stn2-d0-chon-2-t1,4/3/13 19:46,118.4333333
stn2-d0-chon-2-t2,4/10/13 20:05,286.75
stn2-d0-chon-2-t3,4/19/13 21:16,503.9333333
stn2-d0-chon-3-t0,3/29/13 21:20,0
stn2-d0-chon-3-t1,4/3/13 19:46,118.4333333
stn2-d0-chon-3-t2,4/10/13 20:05,286.75
stn2-d0-chon-3-t3,4/19/13 21:16,503.9333333
stn2-d0-chon-x-t0,3/29/13 21:20,0
stn2-d0-chon-x-t1,4/3/13 19:46,118.4333333
stn2-d0-chon-x-t2,4/10/13 20:05,286.75
stn2-d0-chon-x-t3,4/19/13 21:16,503.9333333
stn2-d0-lam-1-t0,3/29/13 21:20,0
stn2-d0-lam-1-t1,4/3/13 19:46,118.4333333
stn2-d0-lam-1-t2,4/10/13 20:05,286.75
stn2-d0-lam-1-t3,4/19/13 21:16,503.9333333
stn2-d0-lam-2-t0,3/29/13 21:20,0
stn2-d0-lam-2-t1,4/3/13 19:46,118.4333333
stn2-d0-lam-2-t2,4/10/13 20:05,286.75
stn2-d0-lam-2-t3,4/19/13 21:16,503.9333333
stn2-d0-lam-3-t0,3/29/13 21:20,0
stn2-d0-lam-3-t1,4/3/13 19:46,118.4333333
stn2-d0-lam-3-t2,4/10/13 20:05,286.75
stn2-d0-lam-3-t3,4/19/13 21:16,503.9333333
stn2-d0-lam-x-t0,3/29/13 21:20,0
stn2-d0-lam-x-t1,4/3/13 19:46,118.4333333
stn2-d0-lam-x-t2,4/10/13 20:05,286.75
stn2-d0-lam-x-t3,4/19/13 21:16,503.9333333
stn2-d0-pul-1-t0,3/29/13 21:20,0
stn2-d0-pul-1-t1,4/3/13 19:46,118.4333333
stn2-d0-pul-1-t2,4/10/13 20:05,286.75
stn2-d0-pul-1-t3,4/19/13 21:16,503.9333333
stn2-d0-pul-2-t0,3/29/13 21:20,0
stn2-d0-pul-2-t1,4/3/13 19:46,118.4333333
stn2-d0-pul-2-t2,4/10/13 20:05,286.75
stn2-d0-pul-2-t3,4/19/13 21:16,503.9333333
stn2-d0-pul-3-t0,3/29/13 21:20,0
stn2-d0-pul-3-t1,4/3/13 19:46,118.4333333
stn2-d0-pul-3-t2,4/10/13 20:05,286.75
stn2-d0-pul-3-t3,4/19/13 21:16,503.9333333
stn2-d0-pul-x-t0,3/29/13 21:20,0
stn2-d0-pul-x-t1,4/3/13 19:46,118.4333333
stn2-d0-pul-x-t2,4/10/13 20:05,286.75
stn2-d0-pul-x-t3,4/19/13 21:16,503.9333333
stn2-d0-xyl-1-t0,3/29/13 21:20,0
stn2-d0-xyl-1-t1,4/3/13 19:46,118.4333333
