,addend,Rate.x.nM.hr,Rate.1.nM.hr,Rate.2.nM.hr,Rate.3.nM.hr,mean.Rate.nM.hr,sd.Rate.nM.hr,kcRate.x.nM.hr,kcRate.1.nM.hr,kcRate.2.nM.hr,kcRate.3.nM.hr,mean.kcRate.nM.hr,sd.kcRate.nM.hr
stn2-d0-ara-t0,change to zero,,,,,,,,,,,,
stn2-d0-ara-t1,change to zero,,,,,,,,,,,,
stn2-d0-ara-t2,change to zero,,,,,,,,,,,,
stn2-d0-ara-t3,change to zero,,,,,,,,,,,,
stn2-d0-chon-t0,,,,,,,,,,,,,
stn2-d0-chon-t1,,,,,,,,,,,,,
stn2-d0-chon-t2,,,,,,,,,,,,,
stn2-d0-chon-t3,,,,,,,,,,,,,
stn2-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn2-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn2-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn2-d0-fuc-t3,change to zero,,,,,,,,,,,,
stn2-d0-lam-t0,,,,,,,,,,,,,
stn2-d0-lam-t1,,,,,,,,,,,,,
stn2-d0-lam-t2,,,,,,,,,,,,,
stn2-d0-lam-t3,,,,,,,,,,,,,
stn2-d0-pul-t0,,,,,,,,,,,,,
stn2-d0-pul-t1,x not dead,,,,,,,,,,,,
stn2-d0-pul-t2,x not dead,,,,,,,,,,,,
stn2-d0-pul-t3,x not dead,,,,,,,,,,,,
stn2-d0-xyl-t0,change to zero,,,,,,,,,,,,
stn2-d0-xyl-t1,change to zero,,,,,,,,,,,,
stn2-d0-xyl-t2,change to zero,,,,,,,,,,,,
stn2-d0-xyl-t3,change to zero,,,,,,,,,,,,
stn4-d0-ara-t0,change to zero,,,,,,,,,,,,
stn4-d0-ara-t1,change to zero,,,,,,,,,,,,
stn4-d0-ara-t2,change to zero,,,,,,,,,,,,
stn4-d0-ara-t3,change to zero,,,,,,,,,,,,
stn4-d0-chon-t0,change to zero,,,,,,,,,,,,
stn4-d0-chon-t1,change to zero,,,,,,,,,,,,
stn4-d0-chon-t2,change to zero,,,,,,,,,,,,
stn4-d0-chon-t3,change to zero,,,,,,,,,,,,
stn4-d0-fuc-t0,change to zero,,,,,,,,,,,,
stn4-d0-fuc-t1,change to zero,,,,,,,,,,,,
stn4-d0-fuc-t2,change to zero,,,,,,,,,,,,
stn4-d0-fuc-t3,change to zero,,,,,,,,,,,,
stn4-d0-lam-t0,,,,,,,,,,,,,
stn4-d0-lam-t1,,,,,,,,,,,,,
stn4-d0-lam-t2,,,,,,,,,,,,,
stn4-d0-lam-t3,,,,,,,,,,,,,
stn4-d0-pul-t0,ignore FLA,,,,,,,,,,,,
stn4-d0-pul-t1,ignore FLA,,,,,,,,,,,,
stn4-d0-pul-t2,ignore FLA,,,,,,,,,,,,
stn4-d0-pul-t3,ignore FLA,,,,,,,,,,,,
stn4-d0-xyl-t0,,,,,,,,,,,,,
stn4-d0-xyl-t1,,,,,,,,,,,,,
stn4-d0-xyl-t2,,,,,,,,,,,,,
stn4-d0-xyl-t3,,,,,,,,,,,,,
stn7-d0-ara-t0,change to zero,,,,,,,,,,,,
