UniqueID,stds.for.rates
stn2-d0-fuc-1-t0,stdbins-gpc1-063013
stn2-d0-fuc-1-t1,stdbins-gpc1-063013
stn2-d0-fuc-1-t2,stdbins-gpc1-063013
stn2-d0-fuc-1-t3,stdbins-gpc1-063013
stn2-d0-fuc-2-t0,stdbins-gpc1-063013
stn2-d0-fuc-2-t1,stdbins-gpc1-063013
stn2-d0-fuc-2-t2,stdbins-gpc1-063013
stn2-d0-fuc-2-t3,stdbins-gpc1-063013
stn2-d0-fuc-3-t0,stdbins-gpc1-063013
stn2-d0-fuc-3-t1,stdbins-gpc1-063013
stn2-d0-fuc-3-t2,stdbins-gpc1-063013
stn2-d0-fuc-3-t3,stdbins-gpc1-063013
stn2-d0-fuc-x-t0,stdbins-gpc1-063013
stn2-d0-fuc-x-t1,stdbins-gpc1-063013
stn2-d0-fuc-x-t2,stdbins-gpc1-063013
stn2-d0-fuc-x-t3,stdbins-gpc1-063013
stn2-d0-ara-1-t0,stdbins-gpc1-063013
stn2-d0-ara-1-t1,stdbins-gpc1-063013
stn2-d0-ara-1-t2,stdbins-gpc1-063013
stn2-d0-ara-1-t3,stdbins-gpc1-063013
stn2-d0-ara-2-t0,stdbins-gpc1-063013
stn2-d0-ara-2-t1,stdbins-gpc1-063013
stn2-d0-ara-2-t2,stdbins-gpc1-063013
stn2-d0-ara-2-t3,stdbins-gpc1-063013
stn2-d0-ara-3-t0,stdbins-gpc1-063013
stn2-d0-ara-3-t1,stdbins-gpc1-063013
stn2-d0-ara-3-t2,stdbins-gpc1-063013
stn2-d0-ara-3-t3,stdbins-gpc1-063013
stn2-d0-ara-x-t0,stdbins-gpc1-063013
stn2-d0-ara-x-t1,stdbins-gpc1-063013
stn2-d0-ara-x-t2,stdbins-gpc1-063013
stn2-d0-ara-x-t3,stdbins-gpc1-063013
stn2-d0-chon-1-t0,stdbins-gpc1-063013
stn2-d0-chon-1-t1,stdbins-gpc1-063013
stn2-d0-chon-1-t2,stdbins-gpc1-063013
stn2-d0-chon-1-t3,stdbins-gpc1-063013
stn2-d0-chon-2-t0,stdbins-gpc1-063013
stn2-d0-chon-2-t1,stdbins-gpc1-063013
stn2-d0-chon-2-t2,stdbins-gpc1-063013
stn2-d0-chon-2-t3,stdbins-gpc1-063013
stn2-d0-chon-3-t0,stdbins-gpc1-063013
stn2-d0-chon-3-t1,stdbins-gpc1-063013
stn2-d0-chon-3-t2,stdbins-gpc1-063013
stn2-d0-chon-3-t3,stdbins-gpc1-063013
stn2-d0-chon-x-t0,stdbins-gpc1-063013
stn2-d0-chon-x-t1,stdbins-gpc1-063013
stn2-d0-chon-x-t2,stdbins-gpc1-063013
stn2-d0-chon-x-t3,stdbins-gpc1-063013
stn2-d0-lam-1-t0,stdbins-gpc1-063013
stn2-d0-lam-1-t1,stdbins-gpc1-063013
stn2-d0-lam-1-t2,stdbins-gpc1-063013
stn2-d0-lam-1-t3,stdbins-gpc1-063013
stn2-d0-lam-2-t0,stdbins-gpc1-063013
stn2-d0-lam-2-t1,stdbins-gpc1-063013
stn2-d0-lam-2-t2,stdbins-gpc1-063013
stn2-d0-lam-2-t3,stdbins-gpc1-063013
